Age,Gender,Education Level,Department,Job Title,Years of Experience,Location,Salary
21.0,Male,Bachelor's,Marketing,Marketing Manager,1.0,Metro City,54977.32
39.0,Male,Bachelor's,Operations,Logistics Coordinator,10.0,Tier-2 City,49067.07
21.0,Female,High School,Finance,Accountant,1.0,Remote,25260.83
31.0,Male,Master's,Finance,Accountant,8.0,Metro City,83576.95
56.0,Female,Master's,Marketing,Marketing Manager,27.0,Tier-2 City,124868.07
29.0,Male,Bachelor's,Sales,Sales Manager,1.0,Metro City,64039.56
37.0,Female,Master's,Marketing,Marketing Executive,2.0,Remote,57585.54
49.0,Female,Bachelor's,Marketing,Marketing Manager,13.0,Metro City,82464.03
32.0,Male,Bachelor's,Finance,Financial Analyst,12.0,Tier-2 City,60829.83
36.0,Female,Master's,Marketing,Marketing Executive,8.0,Metro City,84170.77
36.0,Male,Bachelor's,HR,HR Manager,6.0,Tier-2 City,55094.45
32.0,Female,Master's,HR,HR Executive,8.0,Metro City,73762.24
37.0,Male,Bachelor's,Sales,Sales Manager,6.0,Metro City,66737.22
42.0,Male,Master's,Finance,Financial Analyst,15.0,Remote,94315.55
27.0,Female,Master's,IT,IT Support,1.0,Metro City,82771.83
29.0,Male,PhD,Marketing,SEO Specialist,4.0,Tier-2 City,76865.72
46.0,Male,Master's,IT,DevOps Engineer,14.0,Metro City,126159.58
33.0,Female,Bachelor's,HR,HR Executive,3.0,Tier-2 City,45123.36
31.0,Female,PhD,Operations,Logistics Coordinator,7.0,Metro City,92710.81
50.0,Female,PhD,IT,Software Engineer,20.0,Remote,160908.72
22.0,Male,Master's,Sales,Sales Executive,0.0,Tier-2 City,46859.27
21.0,Female,Master's,Marketing,Marketing Manager,1.0,Tier-2 City,60694.71
21.0,Female,Bachelor's,HR,Recruiter,0.0,Metro City,37140.29
21.0,Female,Master's,IT,IT Support,1.0,Tier-2 City,64426.09
34.0,Male,Master's,Operations,Operations Analyst,9.0,Remote,65734.32
35.0,Male,Bachelor's,IT,Software Engineer,8.0,Tier-2 City,66392.99
54.0,Female,PhD,IT,IT Support,15.0,Metro City,174389.31
27.0,Male,Bachelor's,Sales,Sales Executive,0.0,Remote,35809.86
21.0,Female,Master's,Marketing,Marketing Executive,1.0,Remote,54256.87
48.0,Male,PhD,IT,Data Analyst,15.0,Remote,139457.23
37.0,Male,PhD,HR,HR Executive,4.0,Remote,58770.07
26.0,Male,High School,Marketing,Marketing Manager,4.0,Remote,42977.22
49.0,Female,Bachelor's,Marketing,Marketing Manager,18.0,Metro City,93817.68
26.0,Male,Master's,HR,Recruiter,0.0,Metro City,50211.08
29.0,Male,Master's,Operations,Operations Manager,9.0,Remote,77017.13
42.0,Female,Master's,HR,Recruiter,15.0,Tier-2 City,78283.58
21.0,Female,Bachelor's,Sales,Account Manager,1.0,Tier-2 City,47968.65
47.0,Female,Master's,Operations,Logistics Coordinator,8.0,Tier-2 City,66370.7
39.0,Male,Bachelor's,HR,HR Manager,2.0,Tier-2 City,51310.79
26.0,Male,Master's,Marketing,Marketing Manager,5.0,Metro City,84202.73
30.0,Male,High School,Operations,Operations Analyst,9.0,Tier-2 City,33946.12
32.0,Male,Bachelor's,IT,Data Analyst,4.0,Metro City,67967.37
33.0,Female,Master's,Marketing,SEO Specialist,6.0,Tier-2 City,61526.81
35.0,Female,Bachelor's,HR,Recruiter,7.0,Tier-2 City,43946.02
35.0,Male,High School,Sales,Sales Manager,12.0,Tier-2 City,45213.23
26.0,Male,High School,Sales,Sales Manager,0.0,Metro City,38609.69
36.0,Female,Master's,Marketing,Marketing Manager,12.0,Metro City,112335.15
44.0,Female,Bachelor's,Operations,Operations Manager,11.0,Tier-2 City,62335.59
34.0,Male,PhD,Marketing,Marketing Manager,1.0,Metro City,91978.16
21.0,Female,High School,Operations,Operations Manager,1.0,Metro City,40476.96
39.0,Female,Bachelor's,Sales,Account Manager,6.0,Remote,57716.07
40.0,Female,Bachelor's,Operations,Operations Analyst,14.0,Tier-2 City,59024.72
33.0,Female,Bachelor's,Sales,Sales Executive,9.0,Metro City,59718.11
41.0,Female,Master's,HR,HR Manager,8.0,Metro City,91918.47
39.0,Male,PhD,HR,HR Executive,13.0,Metro City,108088.35
33.0,Female,High School,Marketing,Marketing Manager,9.0,Tier-2 City,48195.52
31.0,Male,Master's,Operations,Operations Analyst,7.0,Remote,64714.25
,Male,Bachelor's,IT,Software Engineer,0.0,Metro City,57419.7
41.0,Male,Bachelor's,HR,HR Manager,2.0,Remote,46049.95
45.0,Male,Master's,HR,HR Executive,16.0,Metro City,97947.43
25.0,Female,High School,Operations,Operations Manager,0.0,Tier-2 City,33533.66
42.0,Female,High School,Marketing,Marketing Executive,17.0,Metro City,51075.02
43.0,Female,Master's,Finance,Accountant,16.0,Metro City,109120.65
30.0,Female,Bachelor's,Operations,Logistics Coordinator,1.0,Metro City,36144.73
36.0,Female,High School,Finance,Finance Manager,16.0,Remote,65175.57
40.0,Female,Master's,Sales,Sales Executive,12.0,Metro City,84510.86
36.0,Female,Bachelor's,Operations,Operations Analyst,9.0,Remote,59671.67
39.0,Male,High School,Marketing,Marketing Manager,14.0,Metro City,58597.7
42.0,Female,Bachelor's,Sales,Account Manager,2.0,Tier-2 City,48040.32
32.0,Male,High School,Operations,Operations Analyst,6.0,Remote,25519.49
44.0,Female,High School,Marketing,Marketing Executive,5.0,Metro City,35959.36
33.0,Female,Bachelor's,HR,Recruiter,4.0,Tier-2 City,39672.5
30.0,Female,Bachelor's,HR,HR Manager,0.0,Metro City,53321.85
51.0,Male,Bachelor's,Finance,Financial Analyst,23.0,Metro City,103181.02
35.0,Male,Master's,Sales,Sales Executive,7.0,Metro City,76948.61
28.0,Female,High School,HR,Recruiter,1.0,Metro City,25163.4
35.0,Male,Master's,Sales,Account Manager,7.0,Metro City,89738.36
38.0,Female,Bachelor's,Sales,Account Manager,5.0,Tier-2 City,59355.77
41.0,Male,Master's,Marketing,Marketing Manager,13.0,Remote,91290.47
44.0,Male,Bachelor's,Marketing,Marketing Executive,6.0,Metro City,62533.53
21.0,Male,PhD,Operations,Operations Analyst,1.0,Remote,64007.38
34.0,Female,Bachelor's,IT,Data Analyst,,Tier-2 City,79002.9
25.0,Female,Master's,Marketing,SEO Specialist,1.0,Remote,56973.61
36.0,Male,High School,Finance,Finance Manager,8.0,Metro City,47476.25
31.0,Male,Master's,Sales,Sales Executive,3.0,Tier-2 City,46206.94
23.0,Male,High School,HR,HR Executive,3.0,Tier-2 City,21339.9
29.0,Male,Bachelor's,IT,IT Support,0.0,Metro City,55027.1
58.0,Female,PhD,Finance,Finance Manager,17.0,Metro City,165751.08
29.0,Male,Bachelor's,Sales,Sales Executive,5.0,Tier-2 City,43727.54
50.0,Female,Bachelor's,Marketing,SEO Specialist,19.0,Metro City,84937.62
21.0,Male,PhD,Marketing,Marketing Executive,1.0,Remote,62036.28
32.0,Male,Master's,Marketing,Marketing Manager,9.0,Tier-2 City,81965.32
47.0,Male,Master's,Sales,Account Manager,18.0,Remote,96571.51
58.0,Male,High School,Sales,Account Manager,17.0,Remote,59919.98
45.0,Female,Bachelor's,Sales,Account Manager,13.0,Metro City,78206.94
39.0,Male,High School,Finance,Finance Manager,6.0,Metro City,58835.24
48.0,Male,Master's,Marketing,Marketing Manager,16.0,Remote,96955.64
21.0,Female,High School,HR,Recruiter,0.0,Remote,17897.83
46.0,Male,Bachelor's,IT,DevOps Engineer,11.0,Remote,69762.38
21.0,Female,Bachelor's,Operations,Operations Manager,0.0,Metro City,50333.25
21.0,Female,Bachelor's,Sales,Sales Executive,0.0,Tier-2 City,34569.97
27.0,Female,PhD,IT,IT Support,7.0,Remote,105487.36
45.0,Male,Bachelor's,Sales,Sales Executive,20.0,Metro City,86193.82
29.0,Male,High School,Sales,Sales Manager,3.0,Tier-2 City,34942.5
38.0,Male,Bachelor's,IT,Software Engineer,8.0,Remote,67604.3
45.0,Male,Bachelor's,Sales,Sales Manager,11.0,Remote,69566.67
40.0,Male,Bachelor's,Operations,Logistics Coordinator,19.0,Tier-2 City,60531.82
34.0,Male,Master's,Marketing,SEO Specialist,0.0,Remote,48359.22
46.0,Female,Bachelor's,Operations,Logistics Coordinator,9.0,Remote,50053.76
30.0,Male,Bachelor's,Finance,Finance Manager,6.0,Remote,63804.19
34.0,Female,High School,HR,HR Executive,9.0,Tier-2 City,31680.36
31.0,Female,Bachelor's,IT,DevOps Engineer,6.0,Metro City,74000.03
40.0,Female,High School,Operations,Logistics Coordinator,19.0,Tier-2 City,40911.47
37.0,Female,PhD,HR,HR Executive,7.0,Tier-2 City,72109.31
32.0,Male,High School,Sales,Sales Manager,12.0,Remote,47087.08
52.0,Female,Bachelor's,IT,Data Analyst,15.0,Metro City,99178.8
29.0,Male,Bachelor's,Sales,Sales Executive,7.0,Remote,53520.31
35.0,Male,Master's,HR,Recruiter,5.0,Remote,56949.01
38.0,Female,PhD,HR,HR Executive,10.0,Metro City,92916.95
24.0,Female,Master's,Finance,Accountant,3.0,Remote,60552.17
39.0,Male,Master's,Marketing,SEO Specialist,10.0,Tier-2 City,69654.27
35.0,Female,Bachelor's,Operations,Operations Manager,7.0,Tier-2 City,52930.54
22.0,Female,Bachelor's,Finance,Finance Manager,2.0,Tier-2 City,58667.58
21.0,Male,PhD,Operations,Operations Manager,0.0,Tier-2 City,63277.36
21.0,Female,Master's,Operations,Operations Analyst,1.0,Metro City,52015.58
34.0,Male,PhD,Operations,Operations Analyst,7.0,Tier-2 City,70585.72
27.0,Male,High School,Finance,Accountant,4.0,Metro City,38658.94
25.0,Female,Master's,IT,DevOps Engineer,0.0,Tier-2 City,58892.56
51.0,Female,Master's,Operations,Operations Manager,18.0,Tier-2 City,101155.15
33.0,Female,Bachelor's,IT,DevOps Engineer,6.0,Tier-2 City,65544.98
29.0,Female,Bachelor's,Operations,Operations Analyst,3.0,Metro City,49859.15
45.0,Male,Bachelor's,IT,IT Support,10.0,Tier-2 City,72836.64
40.0,Male,High School,IT,IT Support,6.0,Tier-2 City,41687.28
40.0,Female,Bachelor's,Finance,Accountant,6.0,Remote,50382.19
21.0,Female,Bachelor's,Sales,Account Manager,1.0,Remote,44609.67
29.0,Female,PhD,Marketing,SEO Specialist,7.0,Metro City,96036.67
30.0,Female,Master's,Operations,Operations Manager,10.0,Tier-2 City,72937.06
33.0,Male,High School,IT,DevOps Engineer,13.0,Tier-2 City,41984.78
31.0,Female,Bachelor's,Marketing,Marketing Executive,1.0,Metro City,46981.8
38.0,Female,Bachelor's,Sales,Sales Manager,10.0,Metro City,71959.53
54.0,Female,Bachelor's,Operations,Operations Analyst,13.0,Tier-2 City,58788.35
21.0,Female,Master's,Operations,Logistics Coordinator,1.0,Metro City,54835.77
34.0,Male,PhD,Marketing,Marketing Executive,7.0,Metro City,103739.24
34.0,Male,Bachelor's,HR,HR Manager,11.0,Metro City,72875.21
,Male,High School,Sales,Sales Manager,3.0,Tier-2 City,37069.52
31.0,Female,Bachelor's,Sales,Account Manager,9.0,Tier-2 City,57883.6
56.0,Female,Bachelor's,Finance,Finance Manager,19.0,Remote,97323.09
45.0,Male,Master's,Sales,Sales Manager,20.0,Tier-2 City,96737.79
34.0,Female,Master's,Marketing,SEO Specialist,9.0,Tier-2 City,67245.45
43.0,Male,Master's,IT,IT Support,15.0,Metro City,130404.1
33.0,Male,High School,IT,DevOps Engineer,7.0,Tier-2 City,33386.56
44.0,Male,Bachelor's,Operations,Operations Manager,4.0,Tier-2 City,60889.04
39.0,Female,Bachelor's,Marketing,Marketing Manager,6.0,Remote,63366.13
24.0,Male,Bachelor's,Operations,Operations Manager,4.0,Tier-2 City,44050.01
46.0,Male,Master's,Marketing,SEO Specialist,14.0,Metro City,98113.86
39.0,Male,Bachelor's,HR,HR Executive,6.0,Remote,41150.05
21.0,Female,Master's,IT,Software Engineer,1.0,Metro City,76930.06
33.0,Female,Bachelor's,IT,Data Analyst,13.0,Metro City,92634.24
33.0,Male,Master's,Finance,Financial Analyst,10.0,Tier-2 City,76678.04
39.0,Female,Master's,Sales,Sales Manager,7.0,Metro City,85529.85
36.0,Female,Bachelor's,Finance,Accountant,9.0,Tier-2 City,59249.45
43.0,Female,Master's,Marketing,SEO Specialist,11.0,Metro City,86503.73
34.0,Male,Bachelor's,Marketing,SEO Specialist,12.0,Metro City,72680.59
24.0,Male,Master's,Sales,Account Manager,4.0,Metro City,72676.64
50.0,Male,Bachelor's,Operations,Logistics Coordinator,14.0,Tier-2 City,60234.54
32.0,Female,Bachelor's,IT,DevOps Engineer,11.0,Metro City,92648.71
45.0,Male,Master's,Finance,Financial Analyst,7.0,Metro City,82541.21
42.0,Female,Master's,Operations,Operations Manager,11.0,Metro City,88916.88
21.0,Female,Bachelor's,Finance,Accountant,0.0,Tier-2 City,36482.58
40.0,Male,High School,IT,DevOps Engineer,17.0,Tier-2 City,52581.27
30.0,Male,PhD,Finance,Financial Analyst,0.0,Remote,79030.15
38.0,Male,Master's,Operations,Operations Manager,10.0,Metro City,90791.36
32.0,Male,Bachelor's,Sales,Account Manager,4.0,Metro City,68885.26
35.0,Male,PhD,Finance,Financial Analyst,9.0,Metro City,122857.25
21.0,Male,Master's,Operations,Operations Manager,0.0,Remote,59034.54
40.0,Male,High School,Sales,Account Manager,6.0,Metro City,48514.44
35.0,Female,High School,Operations,Operations Analyst,8.0,Remote,41009.07
32.0,Female,Bachelor's,IT,Software Engineer,0.0,Metro City,59023.85
39.0,Male,Bachelor's,Operations,Operations Manager,10.0,Metro City,73834.19
32.0,Male,Bachelor's,IT,Data Analyst,1.0,Tier-2 City,50999.15
40.0,Male,Bachelor's,IT,IT Support,16.0,Metro City,98018.06
42.0,Male,Master's,IT,Software Engineer,18.0,Tier-2 City,116318.98
43.0,Male,Bachelor's,Marketing,SEO Specialist,6.0,Metro City,58487.62
24.0,Male,Master's,Operations,Logistics Coordinator,4.0,Metro City,65642.69
31.0,Male,Master's,Sales,Account Manager,5.0,Tier-2 City,71923.33
30.0,Female,Bachelor's,HR,Recruiter,0.0,Tier-2 City,30632.15
28.0,Male,Master's,Finance,Accountant,2.0,Tier-2 City,52298.35
21.0,Male,Master's,IT,Data Analyst,0.0,Metro City,77664.67
41.0,Male,PhD,Marketing,SEO Specialist,9.0,Tier-2 City,85149.47
21.0,Male,Master's,Marketing,Marketing Executive,1.0,Metro City,60443.2
42.0,Female,High School,IT,Software Engineer,17.0,Tier-2 City,51263.1
21.0,Female,PhD,Marketing,Marketing Manager,0.0,Remote,69562.29
33.0,Male,Bachelor's,IT,IT Support,4.0,Tier-2 City,53235.16
27.0,Male,PhD,Sales,Sales Executive,7.0,Metro City,95364.99
25.0,Male,PhD,Finance,Accountant,2.0,Metro City,92236.37
33.0,Male,Bachelor's,IT,Data Analyst,0.0,Remote,43492.41
30.0,Male,Master's,Marketing,SEO Specialist,,Tier-2 City,59611.66
31.0,Male,Bachelor's,Operations,Operations Manager,1.0,Tier-2 City,50594.39
40.0,Male,Bachelor's,HR,HR Executive,15.0,Remote,58901.41
29.0,Female,Bachelor's,Marketing,Marketing Manager,9.0,Tier-2 City,64199.45
37.0,Male,Bachelor's,Marketing,Marketing Manager,17.0,Remote,85457.88
41.0,Male,Bachelor's,Sales,Sales Manager,10.0,Metro City,73923.18
50.0,Female,Bachelor's,IT,DevOps Engineer,18.0,Tier-2 City,86680.94
35.0,Female,High School,Sales,Sales Executive,5.0,Metro City,38143.98
27.0,Male,Master's,Marketing,Marketing Manager,2.0,Metro City,82469.37
31.0,Female,Bachelor's,Marketing,Marketing Manager,0.0,Tier-2 City,44087.17
45.0,Male,Bachelor's,Finance,Financial Analyst,11.0,Tier-2 City,62967.57
28.0,Female,Bachelor's,Sales,Account Manager,8.0,Metro City,74547.54
,Male,High School,Marketing,Marketing Manager,12.0,Remote,52993.45
30.0,Male,Bachelor's,IT,Data Analyst,6.0,Metro City,71660.72
41.0,Male,Bachelor's,Operations,Logistics Coordinator,15.0,Metro City,74884.68
32.0,Male,Bachelor's,Marketing,Marketing Manager,1.0,Metro City,61989.01
30.0,Male,Bachelor's,Marketing,SEO Specialist,8.0,Metro City,65865.37
33.0,Female,Bachelor's,Marketing,Marketing Manager,6.0,Tier-2 City,64866.75
35.0,Male,High School,Operations,Operations Analyst,8.0,Tier-2 City,32327.19
36.0,Male,High School,HR,Recruiter,4.0,Remote,24578.4
27.0,Female,Bachelor's,Marketing,Marketing Manager,0.0,Metro City,56208.73
34.0,Male,PhD,IT,IT Support,8.0,Metro City,129053.91
37.0,Female,PhD,Sales,Sales Manager,9.0,Metro City,118646.12
26.0,Female,Bachelor's,IT,IT Support,0.0,Metro City,59884.69
29.0,Male,Master's,IT,Software Engineer,9.0,Remote,87678.09
22.0,Male,Master's,Operations,Operations Manager,2.0,Remote,64476.13
25.0,Female,Bachelor's,Sales,Sales Manager,1.0,Remote,56639.28
32.0,Male,Master's,HR,Recruiter,5.0,Tier-2 City,48747.63
29.0,Male,Bachelor's,Operations,Operations Manager,1.0,Metro City,57382.93
27.0,Male,Bachelor's,Finance,Accountant,4.0,Tier-2 City,49985.74
27.0,Male,Bachelor's,Sales,Account Manager,4.0,Metro City,67184.36
39.0,Male,Master's,Finance,Financial Analyst,3.0,Tier-2 City,61752.28
45.0,Male,PhD,Sales,Sales Manager,15.0,Metro City,131949.2
36.0,Female,Bachelor's,Marketing,SEO Specialist,16.0,Metro City,79539.82
27.0,Female,Bachelor's,Marketing,Marketing Executive,7.0,Tier-2 City,50039.6
,Male,High School,Operations,Operations Analyst,2.0,Remote,27900.92
23.0,Female,High School,Finance,Financial Analyst,0.0,Tier-2 City,25871.1
46.0,Male,Bachelor's,Sales,Sales Executive,12.0,Metro City,72874.41
37.0,Male,PhD,HR,Recruiter,7.0,Metro City,83902.54
53.0,Female,Master's,HR,Recruiter,19.0,Metro City,99288.54
30.0,Male,High School,Operations,Operations Analyst,6.0,Tier-2 City,27845.11
29.0,Female,Bachelor's,IT,Software Engineer,2.0,Metro City,62739.37
38.0,Male,Master's,Finance,Financial Analyst,10.0,Remote,83572.4
38.0,Male,Bachelor's,Operations,Operations Analyst,3.0,Tier-2 City,35376.89
37.0,Male,Bachelor's,IT,DevOps Engineer,9.0,Tier-2 City,66198.49
38.0,Female,Bachelor's,IT,DevOps Engineer,10.0,Metro City,86121.93
,Male,Master's,Operations,Operations Manager,9.0,Metro City,89130.45
33.0,Male,Bachelor's,Marketing,SEO Specialist,10.0,Metro City,64702.58
40.0,Male,Master's,Sales,Sales Executive,17.0,Metro City,102957.06
55.0,Female,Bachelor's,Operations,Operations Manager,12.0,Tier-2 City,66014.5
23.0,Male,Bachelor's,Marketing,Marketing Executive,3.0,Tier-2 City,37853.52
34.0,Male,Bachelor's,HR,Recruiter,13.0,Tier-2 City,50499.66
32.0,Male,Master's,Sales,Sales Manager,3.0,Tier-2 City,67974.0
33.0,Male,High School,HR,HR Manager,10.0,Remote,45076.17
33.0,Male,Master's,Marketing,Marketing Executive,0.0,Tier-2 City,47967.77
28.0,Female,Bachelor's,Operations,Operations Analyst,0.0,Metro City,42602.59
36.0,Male,Bachelor's,IT,IT Support,5.0,Tier-2 City,57328.11
29.0,Male,Bachelor's,Marketing,Marketing Executive,8.0,Tier-2 City,49914.83
43.0,Female,Master's,IT,IT Support,10.0,Metro City,113912.46
39.0,Male,Master's,IT,IT Support,13.0,Tier-2 City,93432.49
36.0,Male,PhD,Finance,Accountant,5.0,Metro City,101307.97
48.0,Female,Master's,Operations,Operations Manager,16.0,Metro City,110272.58
39.0,Female,Bachelor's,HR,HR Manager,6.0,Metro City,63858.7
33.0,Male,Bachelor's,Marketing,Marketing Manager,4.0,Tier-2 City,57174.96
46.0,Female,Master's,Operations,Logistics Coordinator,10.0,Metro City,76347.27
43.0,Male,Master's,HR,Recruiter,18.0,Remote,79284.84
33.0,Male,Bachelor's,Sales,Account Manager,10.0,Tier-2 City,67563.91
45.0,Male,Bachelor's,IT,Software Engineer,9.0,Remote,70494.03
37.0,Male,High School,HR,HR Manager,0.0,Tier-2 City,39827.43
36.0,Female,Bachelor's,Marketing,Marketing Manager,8.0,Metro City,76613.65
34.0,Male,High School,HR,HR Executive,6.0,Tier-2 City,29923.22
32.0,Male,PhD,Finance,Accountant,9.0,Remote,98299.63
34.0,Male,Bachelor's,Finance,Financial Analyst,9.0,Metro City,76570.05
55.0,Female,Master's,Marketing,SEO Specialist,12.0,Metro City,92975.64
53.0,Male,Master's,Finance,Finance Manager,18.0,Metro City,133210.4
31.0,Male,Master's,Operations,Operations Analyst,2.0,Tier-2 City,52062.25
50.0,Male,Master's,Marketing,Marketing Manager,15.0,Metro City,114930.6
50.0,Female,High School,IT,DevOps Engineer,15.0,Metro City,65011.67
33.0,Female,Bachelor's,Operations,Logistics Coordinator,2.0,Metro City,57903.77
23.0,Female,Bachelor's,HR,HR Manager,3.0,Tier-2 City,48955.97
34.0,Male,Master's,Finance,Finance Manager,11.0,Remote,93689.32
33.0,Female,Bachelor's,Operations,Operations Analyst,9.0,Remote,40044.89
34.0,Female,Master's,Operations,Operations Manager,6.0,Metro City,77824.2
22.0,Female,Bachelor's,Operations,Logistics Coordinator,2.0,Metro City,46658.3
45.0,Male,High School,Marketing,Marketing Executive,7.0,Tier-2 City,35595.07
44.0,Male,Bachelor's,Operations,Logistics Coordinator,12.0,Metro City,63367.84
27.0,Female,PhD,Sales,Sales Executive,2.0,Remote,60632.35
36.0,Male,Bachelor's,Finance,Accountant,11.0,Metro City,78400.25
21.0,Male,Bachelor's,Operations,Operations Manager,0.0,Metro City,53358.44
31.0,Female,Bachelor's,IT,Data Analyst,4.0,Metro City,63934.97
41.0,Male,Master's,Operations,Operations Manager,13.0,Metro City,101851.8
40.0,Female,Bachelor's,Sales,Account Manager,6.0,Metro City,69478.44
26.0,Male,High School,IT,Data Analyst,6.0,Tier-2 City,40618.57
49.0,Female,Bachelor's,Finance,Financial Analyst,7.0,Metro City,66942.07
36.0,Female,Bachelor's,Sales,Account Manager,4.0,Remote,50721.54
24.0,Female,Master's,IT,DevOps Engineer,4.0,Tier-2 City,71488.11
31.0,Female,Bachelor's,Finance,Finance Manager,3.0,Remote,57029.9
44.0,Male,Master's,Marketing,Marketing Manager,11.0,Remote,89649.22
21.0,Male,Bachelor's,Operations,Logistics Coordinator,0.0,Metro City,45472.93
32.0,Female,Bachelor's,Operations,Operations Analyst,5.0,Tier-2 City,49688.32
41.0,Male,Master's,Operations,Operations Analyst,10.0,Tier-2 City,73685.21
26.0,Male,High School,Operations,Operations Manager,6.0,Tier-2 City,41840.19
37.0,Male,PhD,Sales,Sales Manager,6.0,Tier-2 City,85143.19
45.0,Female,Bachelor's,Sales,Sales Manager,16.0,Tier-2 City,76035.86
44.0,Female,Bachelor's,Sales,Account Manager,10.0,Tier-2 City,64929.03
28.0,Male,Bachelor's,IT,Software Engineer,0.0,Tier-2 City,44862.03
40.0,Female,Bachelor's,Marketing,Marketing Executive,6.0,Remote,51809.2
37.0,Female,Bachelor's,HR,HR Executive,2.0,Metro City,42025.26
34.0,Female,Bachelor's,Sales,Sales Manager,1.0,Remote,52932.31
21.0,Female,Master's,IT,IT Support,1.0,Tier-2 City,63689.01
42.0,Female,Bachelor's,HR,Recruiter,13.0,Remote,58129.57
35.0,Male,Master's,IT,IT Support,13.0,Metro City,116854.15
45.0,Female,Bachelor's,IT,IT Support,18.0,Metro City,100400.8
28.0,Female,Bachelor's,Operations,Operations Manager,7.0,Tier-2 City,57221.28
33.0,Female,Master's,Finance,Financial Analyst,1.0,Metro City,69767.52
38.0,Male,PhD,HR,HR Executive,10.0,Metro City,97986.45
28.0,Female,PhD,Finance,Finance Manager,5.0,Tier-2 City,99164.24
26.0,Male,PhD,Sales,Sales Manager,2.0,Tier-2 City,77506.39
41.0,Female,Bachelor's,Sales,Sales Manager,6.0,Remote,65181.97
38.0,Female,Bachelor's,Marketing,Marketing Manager,15.0,Metro City,90047.47
39.0,Male,Bachelor's,IT,Software Engineer,13.0,Tier-2 City,72588.4
38.0,Male,Bachelor's,Marketing,Marketing Manager,4.0,Remote,53983.59
35.0,Male,Master's,Finance,Financial Analyst,10.0,Tier-2 City,81375.48
23.0,Male,Bachelor's,IT,Software Engineer,0.0,Metro City,57564.01
36.0,Male,PhD,Marketing,SEO Specialist,8.0,Tier-2 City,78604.46
28.0,Female,High School,Sales,Sales Executive,7.0,Metro City,36542.3
33.0,Male,Bachelor's,Marketing,Marketing Executive,13.0,Metro City,71038.4
35.0,Female,Bachelor's,IT,IT Support,10.0,Metro City,83283.73
43.0,Male,Master's,Sales,Sales Executive,15.0,Tier-2 City,77864.81
40.0,Male,Bachelor's,Operations,Operations Analyst,8.0,Tier-2 City,48268.86
29.0,Male,Bachelor's,HR,HR Manager,2.0,Tier-2 City,52110.81
42.0,Female,Bachelor's,IT,DevOps Engineer,7.0,Remote,62349.76
30.0,Female,Master's,Operations,Operations Analyst,0.0,Tier-2 City,43162.77
25.0,Male,Master's,Sales,Sales Manager,0.0,Metro City,68715.83
21.0,Female,Master's,Operations,Operations Analyst,1.0,Tier-2 City,36867.86
36.0,Female,Master's,HR,HR Manager,13.0,Remote,85144.36
44.0,Female,Bachelor's,HR,HR Executive,16.0,Metro City,65053.09
